epoch_number,mini_batch_number,score_loss,geometry_loss,loss
1,1,0.7749836030252586,0.29286810639492084,1.0678517094201794
1,2,0.7755113504671496,0.295870983112856,1.0713823335800057
1,3,0.7361218445262303,0.2927294019377646,1.028851246463995
1,4,0.7665114304130949,0.28936263515817506,1.05587406557127
1,5,0.7531522823251611,0.2668893753775511,1.0200416577027123
1,6,0.7724018149125865,0.287055136795724,1.0594569517083106
1,7,0.7302237167666028,0.27181661420801995,1.0020403309746229
1,8,0.7363915296606682,0.28156274055703157,1.0179542702176998
1,9,0.7473860925054551,0.26240596827825136,1.0097920607837065
1,10,0.7122076690526622,0.2746644562436138,0.986872125296276
1,11,0.7173644457320033,0.2885595078656628,1.005923953597666
1,12,0.7046765986841477,0.27936029359840375,0.9840368922825514
1,13,0.7159960997243429,0.2579004209508033,0.9738965206751462
1,14,0.7210151208507213,0.2807349041790174,1.0017500250297386
1,15,0.7324199379081384,0.2727507739109081,1.0051707118190465
1,16,0.7152701813691948,0.2737350290760667,0.9890052104452616
1,17,0.713473256238593,0.2866806196314405,1.0001538758700335
1,18,0.6990816767998675,0.27547697587193465,0.9745586526718022
1,19,0.7078928899940085,0.2643895252513584,0.9722824152453668
1,20,0.7149569183298725,0.2619215191263319,0.9768784374562044
1,21,0.7118776312978259,0.24394202683000796,0.9558196581278339
1,22,0.7083787744776353,0.2630559797666753,0.9714347542443106
1,23,0.7046535953443727,0.27877654291531895,0.9834301382596916
1,24,0.7200350286647058,0.265887568958403,0.9859225976231087
1,25,0.6948442781662458,0.261360336707498,0.9562046148737438
1,26,0.6975437382513635,0.27634359041617795,0.9738873286675415
1,27,0.684913105854968,0.2540947839356959,0.939007889790664
1,28,0.7046419925305277,0.24975057649124657,0.9543925690217743
1,29,0.6943135472179793,0.2620751112492548,0.9563886584672341
1,30,0.6963310457403232,0.2617632120544481,0.9580942577947713
1,31,0.6995598001699598,0.24772872193716466,0.9472885221071244
1,32,0.6969685590765664,0.25556180577136967,0.9525303648479361
1,33,0.6978876986008188,0.25324267705451253,0.9511303756553313
1,34,0.6968125699472789,0.2585427170523848,0.9553552869996638
1,35,0.6893657132120471,0.2626300596345503,0.9519957728465973
1,36,0.6980175879961337,0.2813450561590352,0.9793626441551688
1,37,0.6993104547993312,0.2565898103173822,0.9559002651167134
1,38,0.6890484529394884,0.25377660462468427,0.9428250575641726
1,39,0.6769451448082273,0.2541465303938215,0.9310916752020488
1,40,0.69312412903254,0.2580750004986559,0.9511991295311959
1,41,0.688558297339899,0.26335279850496185,0.9519110958448609
1,42,0.6819996577562192,0.24879682350328705,0.9307964812595062
1,43,0.6925684577501345,0.26414611885016126,0.9567145766002958
1,44,0.688492850801958,0.263501963384139,0.951994814186097
1,45,0.6800272775574152,0.24531803411880027,0.9253453116762155
1,46,0.695653848812058,0.25709119705882455,0.9527450458708826
1,47,0.683994399366255,0.25315487885234667,0.9371492782186016
1,48,0.6947693636000093,0.26148083818455536,0.9562502017845647
1,49,0.6872050279404119,0.2544473179499619,0.9416523458903738
